Na,Li,K,Ca,Si,P,B,Al,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
20,0,0,0,80,0,0,0,50,48,2,0,0,0,0,0,0,0,0,0
25,0,0,0,75,0,0,0,38,61,1,0,0,0,0,0,0,0,0,0
28.6,0,0,0,71.4,0,0,0,27,68,5,0,0,0,0,0,0,0,0,0
33.3,0,0,0,66.7,0,0,0,11,79,10,0,0,0,0,0,0,0,0,0
36.4,0,0,0,63.6,0,0,0,7,76,17,0,0,0,0,0,0,0,0,0
40,0,0,0,60,0,0,0,2,67,29,2,0,0,0,0,0,0,0,0
42.9,0,0,0,57.1,0,0,0,2,54,41,3,0,0,0,0,0,0,0,0
44.4,0,0,0,55.6,0,0,0,0,47,50,3,0,0,0,0,0,0,0,0
50,0,0,0,50,0,0,0,0,16,70,13,1,0,0,0,0,0,0,0
55.6,0,0,0,44.4,0,0,0,0,3,54,39,4,0,0,0,0,0,0,0
33.16498208,0,0,0,66.83501792,0,0,0,9.54,80.98,9.48,0,0,0,0,0,0,0,0,0
40.30305617,0,0,0,59.69694383,0,0,0,0,60.41,39.59,6.73,0,0,0,0,0,0,0,0
48.71399223,0,0,0,51.28600777,0,0,0,0,21.13,68.79,10.07,0,0,0,0,0,0,0,0
9.94,0,0,0,0,0,90.06,0,0,0,0,0,0,0,0,0,0,11.71,0,0
15.33,0,0,0,0,0,84.67,0,0,0,0,0,0,0,0,0,0,15.8,0,0
19.22,0,0,0,0,0,80.78,0,0,0,0,0,0,0,0,0,0,21.92,0,0
22.41,0,0,0,0,0,77.59,0,0,0,0,0,0,0,0,0,0,27.03,0,0
27.52,0,0,0,0,0,72.48,0,0,0,0,0,0,0,0,0,0,33.44,0,0
29.7,0,0,0,0,0,70.3,0,0,0,0,0,0,0,0,0,0,37.33,0,0
31.52,0,0,0,0,0,68.48,0,0,0,0,0,0,0,0,0,0,41.38,0,0
34.04,0,0,0,0,0,65.96,0,0,0,0,0,0,0,0,0,0,42.37,0,0
37.61,0,0,0,0,0,62.39,0,0,0,0,0,0,0,0,0,0,44.25,0,0
67,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,13,0,0
42.8,0,0,0,0,57.2,0,0,0,0,0,0,0,20,80,0,0,0,0,0
43.8,0,0,0,0,56.2,0,0,0,0,0,0,0,18,82,0,0,0,0,0
45.3,0,0,0,0,54.7,0,0,0,0,0,0,0,13,87,0,0,0,0,0
47.2,0,0,0,0,52.8,0,0,0,0,0,0,0,7,93,0,0,0,0,0
51.1,0,0,0,0,48.9,0,0,0,0,0,0,0,0,99,1,0,0,0,0
54.1,0,0,0,0,45.9,0,0,0,0,0,0,0,0,78,22,0,0,0,0
57,0,0,0,0,43,0,0,0,0,0,0,0,0,78,22,0,0,0,0
5,0,0,0,0,95,0,0,0,0,0,0,0,96,4,0,0,0,0,0
7.5,0,0,0,0,92.5,0,0,0,0,0,0,0,94,6,0,0,0,0,0
10,0,0,0,0,90,0,0,0,0,0,0,0,89,11,0,0,0,0,0
15,0,0,0,0,85,0,0,0,0,0,0,0,81,19,0,0,0,0,0
20,0,0,0,0,80,0,0,0,0,0,0,0,77,23,0,0,0,0,0
25,0,0,0,0,75,0,0,0,0,0,0,0,68,32,0,0,0,0,0
30,0,0,0,0,70,0,0,0,0,0,0,0,58,42,0,0,0,0,0
35,0,0,0,0,65,0,0,0,0,0,0,0,43,57,0,0,0,0,0
40,0,0,0,0,60,0,0,0,0,0,0,0,38,62,0,0,0,0,0
50,0,0,0,0,50,0,0,0,0,0,0,0,0,100,0,0,0,0,0
0,10,0,0,0,90,0,0,0,0,0,0,0,89,11,0,0,0,0,0
0,18,0,0,0,82,0,0,0,0,0,0,0,78,22,0,0,0,0,0
0,32,0,0,0,68,0,0,0,0,0,0,0,52,48,0,0,0,0,0
0,37,0,0,0,63,0,0,0,0,0,0,0,40,60,0,0,0,0,0
0,40,0,0,0,60,0,0,0,0,0,0,0,34,66,0,0,0,0,0
0,50,0,0,0,50,0,0,0,0,0,0,0,0,99,1,0,0,0,0
0,51,0,0,0,49,0,0,0,0,0,0,0,0,98,2,0,0,0,0
0,15,0,0,0,85,0,0,0,0,0,0,0,90,10,0,0,0,0,0
0,35,0,0,0,65,0,0,0,0,0,0,0,51,49,0,0,0,0,0
0,55,0,0,0,45,0,0,0,0,0,0,0,0,77,23,0,0,0,0
0,0,20,0,80,0,0,0,49,51,0,0,0,0,0,0,0,0,0,0
0,0,27.3,0,72.7,0,0,0,25,72,3,0,0,0,0,0,0,0,0,0
0,0,28.6,0,71.4,0,0,0,22,74,4,0,0,0,0,0,0,0,0,0
0,0,33.3,0,66.7,0,0,0,7,86,7,0,0,0,0,0,0,0,0,0
0,0,36.4,0,63.6,0,0,0,5,81,14,0,0,0,0,0,0,0,0,0
0,0,40,0,60,0,0,0,0,67,32,1,0,0,0,0,0,0,0,0
0,0,42.9,0,57.1,0,0,0,0,51,48,1,0,0,0,0,0,0,0,0
0,0,44.4,0,55.6,0,0,0,0,41,57,2,0,0,0,0,0,0,0,0
0,0,50,0,50,0,0,0,0,9,84,7,0,0,0,0,0,0,0,0
0,0,28.15256539,0,71.84743461,0,0,0,18.54,76.68,4.78,0,0,0,0,0,0,0,0,0
0,0,45.74004216,0,54.25995784,0,0,0,0,31.36,63.37,5.27,0,0,0,0,0,0,0,0
0,0,49.46452227,0,50.53547773,0,0,0,0,11.43,81.76,6.81,0,0,0,0,0,0,0,0
19.63,0,0,0,0,0,59.69,20.68,0,0,0,0,0,0,0,0,0,7.426900585,20.91929825,4.811695906
0,24.5,0,0,0,0,49.7,25.9,0,0,0,0,0,0,0,0,0,7.221664995,23.77131394,11.0330993
0,24.7,0,0,0,0,59.5,15.8,0,0,0,0,0,0,0,0,0,16.43286573,15.83166333,5.611222445
