Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM
49.62,0,0,0,0,0,50.38,0,0,0,0,0,0,20.02,64.01,14.92,1.05,0,0,0,0,0,0,0
49.75,0,0,0,0,0,50.25,0,0,0,0,0,0,19.45,64.19,15.27,1.09,0,0,0,0,0,0,0
49.87,0,0,0,0,0,50.13,0,0,0,0,0,0,18.89,64.35,15.62,1.14,0,0,0,0,0,0,0
50,0,0,0,0,0,50,0,0,0,0,0,0,18.34,64.5,15.98,1.18,0,0,0,0,0,0,0
50.12,0,0,0,0,0,49.88,0,0,0,0,0,0,17.8,64.63,16.34,1.23,0,0,0,0,0,0,0
50.25,0,0,0,0,0,49.75,0,0,0,0,0,0,17.27,64.75,16.7,1.28,0,0,0,0,0,0,0
50.37,0,0,0,0,0,49.63,0,0,0,0,0,0,16.74,64.85,17.07,1.33,0,0,0,0,0,0,0
50.5,0,0,0,0,0,49.5,0,0,0,0,0,0,16.22,64.95,17.45,1.39,0,0,0,0,0,0,0
50.62,0,0,0,0,0,49.38,0,0,0,0,0,0,15.71,65.02,17.82,1.44,0,0,0,0,0,0,0
50.74,0,0,0,0,0,49.26,0,0,0,0,0,0,15.21,65.09,18.21,1.5,0,0,0,0,0,0,0
50.86,0,0,0,0,0,49.14,0,0,0,0,0,0,14.71,65.13,18.59,1.56,0,0,0,0,0,0,0
50.98,0,0,0,0,0,49.02,0,0,0,0,0,0,14.23,65.17,18.98,1.62,0,0,0,0,0,0,0
51.1,0,0,0,0,0,48.9,0,0,0,0,0,0,13.75,65.19,19.38,1.68,0,0,0,0,0,0,0
51.22,0,0,0,0,0,48.78,0,0,0,0,0,0,13.28,65.19,19.78,1.75,0,0,0,0,0,0,0
51.34,0,0,0,0,0,48.66,0,0,0,0,0,0,12.82,65.18,20.18,1.82,0,0,0,0,0,0,0
51.46,0,0,0,0,0,48.54,0,0,0,0,0,0,12.37,65.15,20.59,1.89,0,0,0,0,0,0,0
51.57,0,0,0,0,0,48.43,0,0,0,0,0,0,11.92,65.11,21,1.96,0,0,0,0,0,0,0
51.69,0,0,0,0,0,48.31,0,0,0,0,0,0,11.49,65.06,21.42,2.03,0,0,0,0,0,0,0
51.81,0,0,0,0,0,48.19,0,0,0,0,0,0,11.06,64.99,21.84,2.11,0,0,0,0,0,0,0
51.92,0,0,0,0,0,48.08,0,0,0,0,0,0,10.64,64.9,22.26,2.19,0,0,0,0,0,0,0
52.04,0,0,0,0,0,47.96,0,0,0,0,0,0,10.24,64.8,22.69,2.27,0,0,0,0,0,0,0
52.15,0,0,0,0,0,47.85,0,0,0,0,0,0,9.84,64.68,23.12,2.36,0,0,0,0,0,0,0
52.27,0,0,0,0,0,47.73,0,0,0,0,0,0,9.45,64.55,23.56,2.45,0,0,0,0,0,0,0
52.38,0,0,0,0,0,47.62,0,0,0,0,0,0,9.06,64.41,23.99,2.54,0,0,0,0,0,0,0
52.49,0,0,0,0,0,47.51,0,0,0,0,0,0,8.69,64.24,24.44,2.63,0,0,0,0,0,0,0
52.61,0,0,0,0,0,47.39,0,0,0,0,0,0,8.33,64.07,24.88,2.72,0,0,0,0,0,0,0
52.72,0,0,0,0,0,47.28,0,0,0,0,0,0,7.97,63.87,25.33,2.82,0,0,0,0,0,0,0
52.83,0,0,0,0,0,47.17,0,0,0,0,0,0,7.63,63.66,25.78,2.92,0,0,0,0,0,0,0
52.94,0,0,0,0,0,47.06,0,0,0,0,0,0,7.29,63.44,26.24,3.03,0,0,0,0,0,0,0
53.05,0,0,0,0,0,46.95,0,0,0,0,0,0,6.97,63.2,26.69,3.14,0,0,0,0,0,0,0
53.16,0,0,0,0,0,46.84,0,0,0,0,0,0,6.65,62.95,27.15,3.25,0,0,0,0,0,0,0
53.27,0,0,0,0,0,46.73,0,0,0,0,0,0,6.34,62.68,27.61,3.36,0,0,0,0,0,0,0
53.38,0,0,0,0,0,46.62,0,0,0,0,0,0,6.04,62.4,28.08,3.48,0,0,0,0,0,0,0
53.49,0,0,0,0,0,46.51,0,0,0,0,0,0,5.75,62.1,28.54,3.6,0,0,0,0,0,0,0
53.6,0,0,0,0,0,46.4,0,0,0,0,0,0,5.47,61.79,29.01,3.73,0,0,0,0,0,0,0
53.7,0,0,0,0,0,46.3,0,0,0,0,0,0,5.2,61.46,29.48,3.86,0,0,0,0,0,0,0
53.81,0,0,0,0,0,46.19,0,0,0,0,0,0,4.93,61.12,29.95,3.99,0,0,0,0,0,0,0
53.92,0,0,0,0,0,46.08,0,0,0,0,0,0,4.68,60.77,30.43,4.12,0,0,0,0,0,0,0
54.02,0,0,0,0,0,45.98,0,0,0,0,0,0,4.43,60.4,30.9,4.26,0,0,0,0,0,0,0
54.13,0,0,0,0,0,45.87,0,0,0,0,0,0,4.19,60.02,31.38,4.41,0,0,0,0,0,0,0
54.23,0,0,0,0,0,45.77,0,0,0,0,0,0,3.97,59.62,31.85,4.56,0,0,0,0,0,0,0
54.34,0,0,0,0,0,45.66,0,0,0,0,0,0,3.75,59.22,32.33,4.71,0,0,0,0,0,0,0
54.44,0,0,0,0,0,45.56,0,0,0,0,0,0,3.53,58.8,32.81,4.86,0,0,0,0,0,0,0
54.55,0,0,0,0,0,45.45,0,0,0,0,0,0,3.33,58.36,33.28,5.02,0,0,0,0,0,0,0
54.65,0,0,0,0,0,45.35,0,0,0,0,0,0,3.14,57.92,33.76,5.19,0,0,0,0,0,0,0
54.75,0,0,0,0,0,45.25,0,0,0,0,0,0,2.95,57.46,34.23,5.36,0,0,0,0,0,0,0
54.85,0,0,0,0,0,45.15,0,0,0,0,0,0,2.77,56.99,34.71,5.53,0,0,0,0,0,0,0
54.95,0,0,0,0,0,45.05,0,0,0,0,0,0,2.6,56.51,35.18,5.71,0,0,0,0,0,0,0
55.06,0,0,0,0,0,44.94,0,0,0,0,0,0,2.44,56.02,35.66,5.89,0,0,0,0,0,0,0
55.16,0,0,0,0,0,44.84,0,0,0,0,0,0,2.28,55.51,36.13,6.08,0,0,0,0,0,0,0
55.26,0,0,0,0,0,44.74,0,0,0,0,0,0,2.13,55,36.6,6.27,0,0,0,0,0,0,0
55.36,0,0,0,0,0,44.64,0,0,0,0,0,0,1.99,54.48,37.06,6.46,0,0,0,0,0,0,0
55.46,0,0,0,0,0,44.54,0,0,0,0,0,0,1.86,53.95,37.53,6.66,0,0,0,0,0,0,0
55.56,0,0,0,0,0,44.44,0,0,0,0,0,0,1.73,53.41,37.99,6.87,0,0,0,0,0,0,0
55.65,0,0,0,0,0,44.35,0,0,0,0,0,0,1.61,52.86,38.45,7.08,0,0,0,0,0,0,0
55.75,0,0,0,0,0,44.25,0,0,0,0,0,0,1.5,52.3,38.91,7.29,0,0,0,0,0,0,0
55.85,0,0,0,0,0,44.15,0,0,0,0,0,0,1.39,51.74,39.36,7.51,0,0,0,0,0,0,0
55.95,0,0,0,0,0,44.05,0,0,0,0,0,0,1.29,51.17,39.81,7.74,0,0,0,0,0,0,0
56.04,0,0,0,0,0,43.96,0,0,0,0,0,0,1.19,50.59,40.25,7.97,0,0,0,0,0,0,0
56.14,0,0,0,0,0,43.86,0,0,0,0,0,0,1.1,50,40.69,8.2,0,0,0,0,0,0,0
56.24,0,0,0,0,0,43.76,0,0,0,0,0,0,1.02,49.41,41.13,8.44,0,0,0,0,0,0,0
56.33,0,0,0,0,0,43.67,0,0,0,0,0,0,0.94,48.82,41.56,8.69,0,0,0,0,0,0,0
56.43,0,0,0,0,0,43.57,0,0,0,0,0,0,0.86,48.21,41.99,8.94,0,0,0,0,0,0,0
56.52,0,0,0,0,0,43.48,0,0,0,0,0,0,0.79,47.61,42.41,9.19,0,0,0,0,0,0,0
56.62,0,0,0,0,0,43.38,0,0,0,0,0,0,0.73,47,42.83,9.45,0,0,0,0,0,0,0
56.71,0,0,0,0,0,43.29,0,0,0,0,0,0,0.66,46.39,43.24,9.71,0,0,0,0,0,0,0
56.8,0,0,0,0,0,43.2,0,0,0,0,0,0,0.61,45.77,43.64,9.98,0,0,0,0,0,0,0
56.9,0,0,0,0,0,43.1,0,0,0,0,0,0,0.55,45.15,44.04,10.26,0,0,0,0,0,0,0
56.99,0,0,0,0,0,43.01,0,0,0,0,0,0,0.51,44.53,44.43,10.54,0,0,0,0,0,0,0
57.08,0,0,0,0,0,42.92,0,0,0,0,0,0,0.46,43.9,44.82,10.82,0,0,0,0,0,0,0
57.17,0,0,0,0,0,42.83,0,0,0,0,0,0,0.42,43.28,45.19,11.11,0,0,0,0,0,0,0
57.26,0,0,0,0,0,42.74,0,0,0,0,0,0,0.38,42.65,45.57,11.41,0,0,0,0,0,0,0
57.36,0,0,0,0,0,42.64,0,0,0,0,0,0,0.34,42.02,45.93,11.71,0,0,0,0,0,0,0
57.45,0,0,0,0,0,42.55,0,0,0,0,0,0,0.31,41.39,46.29,12.01,0,0,0,0,0,0,0
57.54,0,0,0,0,0,42.46,0,0,0,0,0,0,0.28,40.76,46.64,12.32,0,0,0,0,0,0,0
57.63,0,0,0,0,0,42.37,0,0,0,0,0,0,0.25,40.13,46.98,12.64,0,0,0,0,0,0,0
57.72,0,0,0,0,0,42.28,0,0,0,0,0,0,0.23,39.5,47.31,12.96,0,0,0,0,0,0,0
57.81,0,0,0,0,0,42.19,0,0,0,0,0,0,0.2,38.88,47.64,13.28,0,0,0,0,0,0,0
57.89,0,0,0,0,0,42.11,0,0,0,0,0,0,0.18,38.25,47.95,13.61,0,0,0,0,0,0,0
57.98,0,0,0,0,0,42.02,0,0,0,0,0,0,0.16,37.62,48.26,13.95,0,0,0,0,0,0,0
58.07,0,0,0,0,0,41.93,0,0,0,0,0,0,0.15,37,48.56,14.29,0,0,0,0,0,0,0
58.16,0,0,0,0,0,41.84,0,0,0,0,0,0,0.13,36.38,48.86,14.64,0,0,0,0,0,0,0
58.25,0,0,0,0,0,41.75,0,0,0,0,0,0,0.11,35.76,49.14,14.99,0,0,0,0,0,0,0
58.33,0,0,0,0,0,41.67,0,0,0,0,0,0,0.1,35.14,49.41,15.34,0,0,0,0,0,0,0
58.42,0,0,0,0,0,41.58,0,0,0,0,0,0,0.09,34.52,49.68,15.7,0,0,0,0,0,0,0
58.51,0,0,0,0,0,41.49,0,0,0,0,0,0,0.08,33.91,49.94,16.07,0,0,0,0,0,0,0
58.59,0,0,0,0,0,41.41,0,0,0,0,0,0,0.07,33.3,50.19,16.44,0,0,0,0,0,0,0
58.68,0,0,0,0,0,41.32,0,0,0,0,0,0,0.06,32.7,50.42,16.82,0,0,0,0,0,0,0
58.76,0,0,0,0,0,41.24,0,0,0,0,0,0,0.05,32.09,50.65,17.2,0,0,0,0,0,0,0
58.85,0,0,0,0,0,41.15,0,0,0,0,0,0,0.05,31.49,50.87,17.59,0,0,0,0,0,0,0
58.93,0,0,0,0,0,41.07,0,0,0,0,0,0,0.04,30.9,51.08,17.98,0,0,0,0,0,0,0
59.02,0,0,0,0,0,40.98,0,0,0,0,0,0,0.04,30.3,51.29,18.37,0,0,0,0,0,0,0
59.1,0,0,0,0,0,40.9,0,0,0,0,0,0,0.03,29.71,51.48,18.78,0,0,0,0,0,0,0
59.18,0,0,0,0,0,40.82,0,0,0,0,0,0,0.03,29.13,51.66,19.18,0,0,0,0,0,0,0
59.27,0,0,0,0,0,40.73,0,0,0,0,0,0,0.02,28.55,51.83,19.6,0,0,0,0,0,0,0
59.35,0,0,0,0,0,40.65,0,0,0,0,0,0,0.02,27.97,52,20.01,0,0,0,0,0,0,0
59.43,0,0,0,0,0,40.57,0,0,0,0,0,0,0.02,27.4,52.15,20.43,0,0,0,0,0,0,0
59.51,0,0,0,0,0,40.49,0,0,0,0,0,0,0.01,26.83,52.29,20.86,0,0,0,0,0,0,0
59.6,0,0,0,0,0,40.4,0,0,0,0,0,0,0.01,26.27,52.42,21.29,0,0,0,0,0,0,0
59.68,0,0,0,0,0,40.32,0,0,0,0,0,0,0.01,25.71,52.55,21.73,0,0,0,0,0,0,0
59.76,0,0,0,0,0,40.24,0,0,0,0,0,0,0.01,25.16,52.66,22.17,0,0,0,0,0,0,0
59.84,0,0,0,0,0,40.16,0,0,0,0,0,0,0.01,24.61,52.76,22.62,0,0,0,0,0,0,0
59.92,0,0,0,0,0,40.08,0,0,0,0,0,0,0.01,24.06,52.85,23.08,0,0,0,0,0,0,0
60,0,0,0,0,0,40,0,0,0,0,0,0,0.01,23.52,52.94,23.53,0,0,0,0,0,0,0
60.08,0,0,0,0,0,39.92,0,0,0,0,0,0,0,22.99,53.01,24,0,0,0,0,0,0,0
60.16,0,0,0,0,0,39.84,0,0,0,0,0,0,0,22.46,53.07,24.47,0,0,0,0,0,0,0
60.24,0,0,0,0,0,39.76,0,0,0,0,0,0,0,21.94,53.12,24.94,0,0,0,0,0,0,0
60.32,0,0,0,0,0,39.68,0,0,0,0,0,0,0,21.42,53.16,25.42,0,0,0,0,0,0,0
60.4,0,0,0,0,0,39.6,0,0,0,0,0,0,0,20.9,53.19,25.91,0,0,0,0,0,0,0
60.47,0,0,0,0,0,39.53,0,0,0,0,0,0,0,20.39,53.21,26.4,0,0,0,0,0,0,0
60.55,0,0,0,0,0,39.45,0,0,0,0,0,0,0,19.89,53.22,26.89,0,0,0,0,0,0,0
60.63,0,0,0,0,0,39.37,0,0,0,0,0,0,0,19.39,53.22,27.39,0,0,0,0,0,0,0
60.71,0,0,0,0,0,39.29,0,0,0,0,0,0,0,18.9,53.2,27.9,0,0,0,0,0,0,0
60.78,0,0,0,0,0,39.22,0,0,0,0,0,0,0,18.41,53.18,28.41,0,0,0,0,0,0,0
60.86,0,0,0,0,0,39.14,0,0,0,0,0,0,0,17.93,53.14,28.93,0,0,0,0,0,0,0
60.94,0,0,0,0,0,39.06,0,0,0,0,0,0,0,17.45,53.1,29.45,0,0,0,0,0,0,0
61.01,0,0,0,0,0,38.99,0,0,0,0,0,0,0,16.98,53.04,29.98,0,0,0,0,0,0,0
61.09,0,0,0,0,0,38.91,0,0,0,0,0,0,0,16.51,52.97,30.51,0,0,0,0,0,0,0
61.17,0,0,0,0,0,38.83,0,0,0,0,0,0,0,16.05,52.89,31.05,0,0,0,0,0,0,0
61.24,0,0,0,0,0,38.76,0,0,0,0,0,0,0,15.6,52.8,31.6,0,0,0,0,0,0,0
61.32,0,0,0,0,0,38.68,0,0,0,0,0,0,0,15.15,52.7,32.15,0,0,0,0,0,0,0
61.39,0,0,0,0,0,38.61,0,0,0,0,0,0,0,14.71,52.58,32.71,0,0,0,0,0,0,0
61.46,0,0,0,0,0,38.54,0,0,0,0,0,0,0,14.27,52.46,33.27,0,0,0,0,0,0,0
61.54,0,0,0,0,0,38.46,0,0,0,0,0,0,0,13.84,52.32,33.84,0,0,0,0,0,0,0
61.61,0,0,0,0,0,38.39,0,0,0,0,0,0,0,13.41,52.17,34.41,0,0,0,0,0,0,0
61.69,0,0,0,0,0,38.31,0,0,0,0,0,0,0,12.99,52.01,34.99,0,0,0,0,0,0,0
61.76,0,0,0,0,0,38.24,0,0,0,0,0,0,0,12.58,51.84,35.58,0,0,0,0,0,0,0
61.83,0,0,0,0,0,38.17,0,0,0,0,0,0,0,12.17,51.65,36.17,0,0,0,0,0,0,0
61.9,0,0,0,0,0,38.1,0,0,0,0,0,0,0,11.77,51.46,36.77,0,0,0,0,0,0,0
61.98,0,0,0,0,0,38.02,0,0,0,0,0,0,0,11.38,51.25,37.38,0,0,0,0,0,0,0
62.05,0,0,0,0,0,37.95,0,0,0,0,0,0,0,10.99,51.03,37.99,0,0,0,0,0,0,0
62.12,0,0,0,0,0,37.88,0,0,0,0,0,0,0,10.6,50.79,38.6,0,0,0,0,0,0,0
62.19,0,0,0,0,0,37.81,0,0,0,0,0,0,0,10.23,50.55,39.23,0,0,0,0,0,0,0
62.26,0,0,0,0,0,37.74,0,0,0,0,0,0,0,9.86,50.29,39.86,0,0,0,0,0,0,0
62.34,0,0,0,0,0,37.66,0,0,0,0,0,0,0,9.49,50.02,40.49,0,0,0,0,0,0,0
62.41,0,0,0,0,0,37.59,0,0,0,0,0,0,0,9.13,49.73,41.13,0,0,0,0,0,0,0
62.48,0,0,0,0,0,37.52,0,0,0,0,0,0,0,8.78,49.43,41.78,0,0,0,0,0,0,0
62.55,0,0,0,0,0,37.45,0,0,0,0,0,0,0,8.44,49.12,42.44,0,0,0,0,0,0,0
62.62,0,0,0,0,0,37.38,0,0,0,0,0,0,0,8.1,48.8,43.1,0,0,0,0,0,0,0
62.69,0,0,0,0,0,37.31,0,0,0,0,0,0,0,7.77,48.46,43.77,0,0,0,0,0,0,0
62.76,0,0,0,0,0,37.24,0,0,0,0,0,0,0,7.44,48.11,44.44,0,0,0,0,0,0,0
62.83,0,0,0,0,0,37.17,0,0,0,0,0,0,0,7.12,47.75,45.12,0,0,0,0,0,0,0
62.89,0,0,0,0,0,37.11,0,0,0,0,0,0,0,6.81,47.37,45.81,0,0,0,0,0,0,0
62.96,0,0,0,0,0,37.04,0,0,0,0,0,0,0,6.51,46.98,46.51,0,0,0,0,0,0,0
63.03,0,0,0,0,0,36.97,0,0,0,0,0,0,0,6.21,46.58,47.21,0,0,0,0,0,0,0
63.1,0,0,0,0,0,36.9,0,0,0,0,0,0,0,5.92,46.16,47.92,0,0,0,0,0,0,0
63.17,0,0,0,0,0,36.83,0,0,0,0,0,0,0,5.64,45.73,48.64,0,0,0,0,0,0,0
63.24,0,0,0,0,0,36.76,0,0,0,0,0,0,0,5.36,45.28,49.36,0,0,0,0,0,0,0
63.3,0,0,0,0,0,36.7,0,0,0,0,0,0,0,5.09,44.82,50.09,0,0,0,0,0,0,0
63.37,0,0,0,0,0,36.63,0,0,0,0,0,0,0,4.83,44.35,50.83,0,0,0,0,0,0,0
63.44,0,0,0,0,0,36.56,0,0,0,0,0,0,0,4.57,43.86,51.57,0,0,0,0,0,0,0
63.5,0,0,0,0,0,36.5,0,0,0,0,0,0,0,4.32,43.36,52.32,0,0,0,0,0,0,0
63.57,0,0,0,0,0,36.43,0,0,0,0,0,0,0,4.08,42.84,53.08,0,0,0,0,0,0,0
63.64,0,0,0,0,0,36.36,0,0,0,0,0,0,0,3.85,42.31,53.85,0,0,0,0,0,0,0
63.7,0,0,0,0,0,36.3,0,0,0,0,0,0,0,3.62,41.76,54.62,0,0,0,0,0,0,0
63.77,0,0,0,0,0,36.23,0,0,0,0,0,0,0,3.4,41.2,55.4,0,0,0,0,0,0,0
63.83,0,0,0,0,0,36.17,0,0,0,0,0,0,0,3.19,40.63,56.19,0,0,0,0,0,0,0
63.9,0,0,0,0,0,36.1,0,0,0,0,0,0,0,2.98,40.03,56.98,0,0,0,0,0,0,0
63.96,0,0,0,0,0,36.04,0,0,0,0,0,0,0,2.79,39.43,57.79,0,0,0,0,0,0,0
64.03,0,0,0,0,0,35.97,0,0,0,0,0,0,0,2.6,38.81,58.6,0,0,0,0,0,0,0
64.09,0,0,0,0,0,35.91,0,0,0,0,0,0,0,2.41,38.17,59.41,0,0,0,0,0,0,0
64.16,0,0,0,0,0,35.84,0,0,0,0,0,0,0,2.24,37.52,60.24,0,0,0,0,0,0,0
64.22,0,0,0,0,0,35.78,0,0,0,0,0,0,0,2.07,36.86,61.07,0,0,0,0,0,0,0
64.29,0,0,0,0,0,35.71,0,0,0,0,0,0,0,1.91,36.18,61.91,0,0,0,0,0,0,0
64.35,0,0,0,0,0,35.65,0,0,0,0,0,0,0,1.76,35.49,62.76,0,0,0,0,0,0,0
64.41,0,0,0,0,0,35.59,0,0,0,0,0,0,0,1.61,34.78,63.61,0,0,0,0,0,0,0
64.48,0,0,0,0,0,35.52,0,0,0,0,0,0,0,1.47,34.05,64.47,0,0,0,0,0,0,0
64.54,0,0,0,0,0,35.46,0,0,0,0,0,0,0,1.34,33.31,65.34,0,0,0,0,0,0,0
64.6,0,0,0,0,0,35.4,0,0,0,0,0,0,0,1.22,32.56,66.22,0,0,0,0,0,0,0
64.66,0,0,0,0,0,35.34,0,0,0,0,0,0,0,1.1,31.8,67.1,0,0,0,0,0,0,0
64.73,0,0,0,0,0,35.27,0,0,0,0,0,0,0,0.99,31.01,67.99,0,0,0,0,0,0,0
64.79,0,0,0,0,0,35.21,0,0,0,0,0,0,0,0.89,30.22,68.89,0,0,0,0,0,0,0
64.85,0,0,0,0,0,35.15,0,0,0,0,0,0,0,0.79,29.41,69.79,0,0,0,0,0,0,0
64.91,0,0,0,0,0,35.09,0,0,0,0,0,0,0,0.71,28.59,70.71,0,0,0,0,0,0,0
64.97,0,0,0,0,0,35.03,0,0,0,0,0,0,0,0.62,27.75,71.62,0,0,0,0,0,0,0
65.03,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0.55,26.91,72.55,0,0,0,0,0,0,0
65.1,0,0,0,0,0,34.9,0,0,0,0,0,0,0,0.48,26.05,73.48,0,0,0,0,0,0,0
65.16,0,0,0,0,0,34.84,0,0,0,0,0,0,0,0.41,25.17,74.41,0,0,0,0,0,0,0
65.22,0,0,0,0,0,34.78,0,0,0,0,0,0,0,0.36,24.29,75.36,0,0,0,0,0,0,0
65.28,0,0,0,0,0,34.72,0,0,0,0,0,0,0,0.3,23.39,76.3,0,0,0,0,0,0,0
65.34,0,0,0,0,0,34.66,0,0,0,0,0,0,0,0.26,22.49,77.26,0,0,0,0,0,0,0
65.4,0,0,0,0,0,34.6,0,0,0,0,0,0,0,0.21,21.57,78.21,0,0,0,0,0,0,0
65.46,0,0,0,0,0,34.54,0,0,0,0,0,0,0,0.18,20.64,79.18,0,0,0,0,0,0,0
65.52,0,0,0,0,0,34.48,0,0,0,0,0,0,0,0.15,19.71,80.15,0,0,0,0,0,0,0
65.58,0,0,0,0,0,34.42,0,0,0,0,0,0,0,0.12,18.77,81.12,0,0,0,0,0,0,0
65.64,0,0,0,0,0,34.36,0,0,0,0,0,0,0,0.09,17.81,82.09,0,0,0,0,0,0,0
65.69,0,0,0,0,0,34.31,0,0,0,0,0,0,0,0.07,16.85,83.07,0,0,0,0,0,0,0
65.75,0,0,0,0,0,34.25,0,0,0,0,0,0,0,0.06,15.89,84.06,0,0,0,0,0,0,0
65.81,0,0,0,0,0,34.19,0,0,0,0,0,0,0,0.04,14.92,85.04,0,0,0,0,0,0,0
65.87,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0.03,13.94,86.03,0,0,0,0,0,0,0
65.93,0,0,0,0,0,34.07,0,0,0,0,0,0,0,0.02,12.96,87.02,0,0,0,0,0,0,0
65.99,0,0,0,0,0,34.01,0,0,0,0,0,0,0,0.01,11.97,88.01,0,0,0,0,0,0,0
66.04,0,0,0,0,0,33.96,0,0,0,0,0,0,0,0.01,10.98,89.01,0,0,0,0,0,0,0
66.1,0,0,0,0,0,33.9,0,0,0,0,0,0,0,0.01,9.99,90.01,0,0,0,0,0,0,0
66.16,0,0,0,0,0,33.84,0,0,0,0,0,0,0,0,8.99,91,0,0,0,0,0,0,0
66.22,0,0,0,0,0,33.78,0,0,0,0,0,0,0,0,8,92,0,0,0,0,0,0,0
66.27,0,0,0,0,0,33.73,0,0,0,0,0,0,0,0,7,93,0,0,0,0,0,0,0
66.33,0,0,0,0,0,33.67,0,0,0,0,0,0,0,0,6,94,0,0,0,0,0,0,0
66.39,0,0,0,0,0,33.61,0,0,0,0,0,0,0,0,5,95,0,0,0,0,0,0,0
66.44,0,0,0,0,0,33.56,0,0,0,0,0,0,0,0,4,96,0,0,0,0,0,0,0
66.5,0,0,0,0,0,33.5,0,0,0,0,0,0,0,0,3,97,0,0,0,0,0,0,0
66.56,0,0,0,0,0,33.44,0,0,0,0,0,0,0,0,2,98,0,0,0,0,0,0,0
66.61,0,0,0,0,0,33.39,0,0,0,0,0,0,0,0,1,99,0,0,0,0,0,0,0
67,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
